,Campaign,Ad_group,Keyword_type,Search_keyword,Clicks,Impressions,Cost,Leads,Prospects,CTR,CPC,Weeks,Region
354,EK_Generic_Swimming_Canada,Pool_Scheduling_Software_Phrase,Phrase,pool scheduling software,0,1,0,0,0,0,0,19-04-2021,Canada
355,EK_Generic_Tri-Tok_Pilates,Pilates_Booking_System_Exact,Exact,pilates booking system,0,0,0,0,0,0,0,19-04-2021,
356,EK_Generic_Swimming_Singapore,Pool_Reservation_Software_Broad,Broad,pool reservation software,0,2,0,0,0,0,0,19-04-2021,Singapore
357,EK_Generic_Swimming_Canada,Pool_Reservation_Software_Broad,Broad,pool reservation software,0,5,0,0,0,0,0,19-04-2021,Canada
358,EK_Generic_Swimming,Pool_Reservation_Software_Exact,Exact,pool reservation software,0,1,0,0,0,0,0,19-04-2021,
359,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Exact,Exact,yoga studio booking software,0,2,0,0,0,0,0,19-04-2021,
360,EK_Generic_Swimming,Pool_Reservation_Software_Broad,Broad,pool reservation software,5,26,10.42,1,0,19.23076923,2.084,26-04-2021,
361,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Broad,Broad,yoga studio booking software,4,264,32.79,0,0,1.515151515,8.1975,26-04-2021,
362,EK_Generic_Swimming_Singapore,Swimming_Pool_Booking_System_Exact,Exact,swimming pool booking system,2,12,1.83,0,0,16.66666667,0.915,26-04-2021,Singapore
363,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,booking management software,2,40,21.84,0,0,5,10.92,26-04-2021,
364,EK_Generic_Quad-Tok_Pilates,Pilates_Studio_Booking_Software_Broad,Broad,pilates studio booking software,2,40,18.33,0,0,5,9.165,26-04-2021,
365,EK_Generic_Swimming_UK,Swimming_Pool_Booking_System_Exact,Exact,swimming pool booking system,1,1,1.25,0,0,100,1.25,26-04-2021,UK
366,EK_Generic_Swimming,Pool_Scheduling_Software_Phrase,Phrase,pool scheduling software,1,12,16.8,0,0,8.333333333,16.8,26-04-2021,
367,EK_Generic_Swimming_Canada,Swimming_Pool_Reservation_System_Exact,Exact,swimming pool reservation system,0,1,0,0,0,0,0,26-04-2021,Canada
368,EK_Generic_Quad-Tok_Pilates,Pilates_Studio_Management_Software_Exact,Exact,pilates studio management software,0,0,0,0,0,0,0,26-04-2021,
369,EK_Generic_Swimming,Pool_Reservation_System_Exact,Exact,pool reservation system,0,4,0,0,0,0,0,26-04-2021,
370,EK_Generic_Swimming,Swimming_Pool_Reservation_System_Exact,Exact,swimming pool reservation system,0,2,0,0,0,0,0,26-04-2021,
371,EK_Generic_Tri-Tok_Pilates,Pilates_Booking_System_Phrase,Phrase,pilates booking system,0,0,0,0,0,0,0,26-04-2021,
372,EK_Generic_Tri-Tok_Yoga,Yoga_Studio_Software_Phrase,Phrase,yoga studio software,0,4,0,0,0,0,0,26-04-2021,
373,EK_Generic_Tri-Tok_Pilates,Pilates_Studio_Software_Phrase,Phrase,pilates studio software,0,0,0,0,0,0,0,26-04-2021,
374,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Phrase,Phrase,reservation management system,0,9,0,0,0,0,0,26-04-2021,
375,EK_Generic_Tri-Tok_Reservation,Reservation_Management_System_Exact,Exact,reservation management system,0,21,0,0,0,0,0,26-04-2021,
376,EK_Generic_Swimming,Pool_Booking_App_Exact,Exact,pool booking app,0,6,0,0,0,0,0,26-04-2021,
377,EK_Generic_Tri-Tok_Yoga,Yoga_Studio_App_Phrase,Phrase,yoga studio app,0,14,0,0,0,0,0,26-04-2021,
378,EK_Generic_Swimming_UK,Pool_Reservation_Software_Broad,Broad,pool reservation software,0,4,0,0,0,0,0,26-04-2021,UK
379,EK_Generic_Tri-Tok_Yoga,Yoga_Studio_App_Exact,Exact,yoga studio app,0,7,0,0,0,0,0,26-04-2021,
380,EK_Generic_Swimming_Canada,Pool_Reservation_Software_Broad,Broad,pool reservation software,0,1,0,0,0,0,0,26-04-2021,Canada
381,EK_Generic_Swimming_Singapore,Pool_Reservation_Software_Broad,Broad,pool reservation software,0,3,0,0,0,0,0,26-04-2021,Singapore
382,EK_Generic_Swimming,Pool_Reservation_Software_Exact,Exact,pool reservation software,0,1,0,0,0,0,0,26-04-2021,
383,EK_Generic_Tri-Tok_Pilates,Pilates_Booking_System_Exact,Exact,pilates booking system,0,5,0,0,0,0,0,26-04-2021,
384,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Generic_Software_Phrase,Phrase,yoga studio management software,0,0,0,0,0,0,0,26-04-2021,
385,EK_Generic_Quad-Tok_Yoga,Yoga_Studio_Booking_Software_Exact,Exact,yoga studio booking software,0,6,0,0,0,0,0,26-04-2021,
386,EK_Generic_Tri-Tok_Yoga,Yoga_Studio_Software_Exact,Exact,yoga studio software,0,2,0,0,0,0,0,26-04-2021,
387,EK_Generic_Swimming_Singapore,Swimming_Pool_Reservation_System_Exact,Exact,swimming pool reservation system,0,1,0,0,0,0,0,26-04-2021,Singapore
388,EK_Generic_Tri-Tok_Pilates,Pilates_Studio_Software_Exact,Exact,pilates studio software,0,1,0,0,0,0,0,26-04-2021,
389,EK_Generic_Tri-Tok_Yoga,Yoga_Studio_Software_Phrase,Phrase,yoga studio software,8,255,65.66,0,2,3.137254902,8.2075,03-05-2021,
